"Annee";"SectionCNU.ID";"QualificationDossiers.MCF";"QualificationQualifies.MCF";"PostesPublies.MCF";"Candidatures.MCF";"Candidats.MCF";"PostesPourvus.MCF";"Candidatures.MCF.F";"Candidatures.MCF.H";"Candidats.MCF.F";"Candidats.MCF.H";"Recrutes.MCF.F";"Recrutes.MCF.H"
2007;86;216;132;44;NA;NA;44;NA;NA;NA;NA;NA;NA
2007;87;294;164;32;NA;NA;32;NA;NA;NA;NA;NA;NA
2008;1;277;87;78;NA;NA;71;NA;NA;NA;NA;NA;NA
2008;2;229;53;44;NA;NA;41;NA;NA;NA;NA;NA;NA
2008;3;67;24;9;NA;NA;9;NA;NA;NA;NA;NA;NA
2008;4;196;86;9;NA;NA;8;NA;NA;NA;NA;NA;NA
2008;5;272;132;81;NA;NA;71;NA;NA;NA;NA;NA;NA
2008;6;244;160;128;NA;NA;98;NA;NA;NA;NA;NA;NA
2008;7;271;165;33;NA;NA;32;NA;NA;NA;NA;NA;NA
2008;8;51;35;11;NA;NA;11;NA;NA;NA;NA;NA;NA
2008;9;244;135;52;NA;NA;51;NA;NA;NA;NA;NA;NA
2008;10;147;55;8;NA;NA;7;NA;NA;NA;NA;NA;NA
2008;11;206;149;86;NA;NA;73;NA;NA;NA;NA;NA;NA
